column_id,column_name,column_type,section,join_target
perimeter_setback_distance_magnitude,Perimeter setback distance (raw magnitude),number,,
perimeter_setback_distance_unit,Perimeter setback distance (raw unit),enum,,
ht_type_perimetre,Type of perimeter,enum,,
perimeter_material,Perimeter Material,enum,,
ht_protection_type,Protection type,enum,,
ht_protection_length_unit_m,Protection length (m),number,,
ht_protection_length_unit_cm,Protection length (cm),number,,
ht_protection_length_unit_ft,Protection length (ft),number,,
ht_protection_length_unit_in,Protection length (in),number,,
ht_protection_length_magnitude,Protection length (raw magnitude),number,,
ht_protection_length_unit,Protection length (raw unit),enum,,
ht_protection_width_unit_m,Protection width (m),number,,
ht_protection_width_unit_cm,Protection width (cm),number,,
ht_protection_width_unit_ft,Protection width (ft),number,,
ht_protection_width_unit_in,Protection width (in),number,,
ht_protection_width_magnitude,Protection width (raw magnitude),number,,
ht_protection_width_unit,Protection width (raw unit),enum,,
ht_protection_depth_unit_m,Protection depth (m),number,,
ht_protection_depth_unit_cm,Protection depth (cm),number,,
ht_protection_depth_unit_ft,Protection depth (ft),number,,
ht_protection_depth_unit_in,Protection depth (in),number,,
ht_protection_depth_magnitude,Protection depth (raw magnitude),number,,
ht_protection_depth_unit,Protection depth (raw unit),enum,,
ht_cover_type,Type of cover,enum,,
ht_protection_diameter_unit_cm,Protection diameter (cm),number,,
ht_protection_diameter_unit_m,Protection diameter (m),number,,
ht_protection_diameter_unit_in,Protection diameter (in),number,,
ht_protection_diameter_unit_ft,Protection diameter (ft),number,,
ht_protection_diameter_magnitude,Protection diameter (raw magnitude),number,,
ht_protection_diameter_unit,Protection diameter (raw unit),enum,,
ht_protection_material,Protection material,enum,,
water_point_type,Water point type,enum,,
agricultural_use,Agricultural use,boolean,,
livestock_use,Livestock use,boolean,,
meter_installed,Meter installed,boolean,,
number_of_taps,Number of taps,number,,
kiosk_tank_installed,Kiosk tank installed,boolean,,
other_vertical_type,Other vertical asset type,text,,
pipe_type,Pipe type,enum,,
pipe_color,Pipe color,text,,
nominal_pressure_unit_pa,Nominal pressure (Pa),number,,
nominal_pressure_unit_kpa,Nominal pressure (kPa),number,,
nominal_pressure_unit_psi,Nominal pressure (psi),number,,
nominal_pressure_unit_ft_water,Nominal pressure (ft H₂O),number,,
nominal_pressure_unit_in_water,Nominal pressure (in H₂O),number,,
nominal_pressure_unit_cm_water,Nominal pressure (cm H₂O),number,,
nominal_pressure_unit_m_water,Nominal pressure (m H₂O),number,,
nominal_pressure_unit_bar,Nominal pressure (bar),number,,
nominal_pressure_magnitude,Nominal pressure (raw magnitude),number,,
nominal_pressure_unit,Nominal pressure (raw unit),enum,,
pipe_depth_below_ground_unit_m,Pipe depth below ground (m),number,,
pipe_depth_below_ground_unit_cm,Pipe depth below ground (cm),number,,
pipe_depth_below_ground_unit_in,Pipe depth below ground (in),number,,
pipe_depth_below_ground_unit_ft,Pipe depth below ground (ft),number,,
pipe_depth_below_ground_magnitude,Pipe depth below ground (raw magnitude),number,,
pipe_depth_below_ground_unit,Pipe depth below ground (raw unit),enum,,
ht_service_en_route,Service en route,boolean,,
connection_type,Connection type,enum,,
connection_diameter_unit_m,Connection diameter (m),number,,
connection_diameter_unit_cm,Connection diameter (cm),number,,
connection_diameter_unit_mm,Connection diameter (mm),number,,
connection_diameter_unit_in,Connection diameter (in),number,,
connection_diameter_magnitude,Connection diameter (raw magnitude),number,,
connection_diameter_unit,Connection diameter (raw unit),enum,,
customer_id,Customer ID,text,,
connection_status,Connection Status,enum,,
conn_meter_number,Water meter number,text,,
connection_seal,Seal,text,,
water_system,Water System,id,,entities.water_system
parent,Parent,id,,entities.water_asset
water_point,Water Point,id,,entities.water_point
tank_base_type,Tank base type,enum,,
tank_base_material,Tank base material,enum,,
tank_base_height_unit_m,Tank base height (m),number,,
tank_base_height_unit_cm,Tank base height (cm),number,,
tank_base_height_unit_ft,Tank base height (ft),number,,
tank_base_height_unit_in,Tank base height (in),number,,
tank_base_height_magnitude,Tank base height (raw magnitude),number,,
tank_base_height_unit,Tank base height (raw unit),enum,,
_managed_by,Managed By,id,,subjects
_created_by,Added by user,id,,users
_created_on,Date added,datetime,,
_modified_by,Last modified by user,id,,users
_modified_on,Date last modified,datetime,,
_private,Site Private,boolean,,
_merged_entities,Previous mWater IDs,text[],,
_pending_approvals,Pending Approvals,boolean,,
!datasets,Datasets,join,,datasets
!entities.water_point.water_asset,Water points,join,,entities.water_point
!entities.water_asset.upstream_asset,Water assets,join,,entities.water_asset
!entities.water_asset.downstream_asset,Water assets,join,,entities.water_asset
!entities.water_asset.parent,Water assets,join,,entities.water_asset
